timestamp	p50_ms	p95_ms	p99_ms	ssim	flip	fitness	passed
2026-07-05T15:13:56	25.675	28.524	30.006	1.0	0.0	-28.523864041165204	True
2026-07-05T15:14:34	23.441	25.7	30.302	1.0	0.0	-25.69998878844677	True
2026-07-05T15:14:56	22.811	25.107	31.168	0.982	0.045	-27.357343483510313	True
2026-07-05T15:15:23	22.172	24.648	32.648	0.977	0.0575	-27.522501034624245	True
2026-07-05T15:15:54	23.023	25.823	37.986	0.97933	0.05167	-28.406236577255	True
2026-07-05T15:16:27	22.168	24.623	30.529	0.97843	0.05392	-27.318534157059464	True
2026-07-05T15:17:13	22.589	24.989	31.694	0.977	0.0575	-27.864043542551094	True
2026-07-05T15:17:45	22.545	25.058	28.97	0.97933	0.05167	-27.641034252896258	True
2026-07-05T15:18:22	22.982	25.612	26.775	0.978	0.055	-28.362229852146363	True
2026-07-05T15:18:55	22.847	25.364	33.547	0.98033	0.04917	-27.82244396751594	True
2026-07-05T15:19:27	22.918	25.501	27.096	0.97975	0.05062	-28.031846808214397	True
